cpqDa2LogDrvStatusChange,.1.3.6.1.4.1.232.0.3001
cpqHe3ThermalTempDegraded,.1.3.6.1.4.1.232.0.6018
cpqHe3ThermalTempOk,.1.3.6.1.4.1.232.0.6019
cpqHe3ThermalSystemFanFailed,.1.3.6.1.4.1.232.0.6020
cpqHe3ThermalSystemFanDegraded,.1.3.6.1.4.1.232.0.6021
cpqHe3ThermalSystemFanOk,.1.3.6.1.4.1.232.0.6022
cpqHe3ThermalCpuFanFailed,.1.3.6.1.4.1.232.0.6023
cpqHe3ThermalCpuFanOk,.1.3.6.1.4.1.232.0.6024
cpqHe3AsrConfirmation,.1.3.6.1.4.1.232.0.6025
cpqHe3ThermalConfirmation,.1.3.6.1.4.1.232.0.6026
cpqHe3PostError,.1.3.6.1.4.1.232.0.6027
cpqHe3FltTolPwrSupplyDegraded,.1.3.6.1.4.1.232.0.6028
cpqHe3CorrMemReplaceMemModule,.1.3.6.1.4.1.232.0.6029
cpqHe3FltTolPowerSupplyDegraded,.1.3.6.1.4.1.232.0.6030
cpqHe3FltTolPowerSupplyFailed,.1.3.6.1.4.1.232.0.6031
cpqHe3FltTolPowerRedundancyLost,.1.3.6.1.4.1.232.0.6032
cpqHe3FltTolPowerSupplyInserted,.1.3.6.1.4.1.232.0.6033
cpqHe3FltTolPowerSupplyRemoved,.1.3.6.1.4.1.232.0.6034
cpqHe3FltTolFanDegraded,.1.3.6.1.4.1.232.0.6035
cpqHe3FltTolFanFailed,.1.3.6.1.4.1.232.0.6036
cpqHe3FltTolFanRedundancyLost,.1.3.6.1.4.1.232.0.6037
cpqHe3FltTolFanInserted,.1.3.6.1.4.1.232.0.6038
cpqHe3FltTolFanRemoved,.1.3.6.1.4.1.232.0.6039
cpqHe3TemperatureFailed,.1.3.6.1.4.1.232.0.6040
cpqHe3TemperatureDegraded,.1.3.6.1.4.1.232.0.6041
cpqHe3TemperatureOk,.1.3.6.1.4.1.232.0.6042
cpqHe3PowerConverterDegraded,.1.3.6.1.4.1.232.0.6043
cpqHe3PowerConverterFailed,.1.3.6.1.4.1.232.0.6044
cpqHe3PowerConverterRedundancyLost,.1.3.6.1.4.1.232.0.6045
cpqHe3CacheAccelParityError,.1.3.6.1.4.1.232.0.6046
cpqHeResilientMemOnlineSpareEngaged,.1.3.6.1.4.1.232.0.6047
cpqHe4FltTolPowerSupplyOk,.1.3.6.1.4.1.232.0.6048
cpqHe4FltTolPowerSupplyDegraded,.1.3.6.1.4.1.232.0.6049
cpqHe4FltTolPowerSupplyFailed,.1.3.6.1.4.1.232.0.6050
cpqHeResilientMemMirroredMemoryEngaged,.1.3.6.1.4.1.232.0.6051
cpqHeResilientAdvancedECCMemoryEngaged,.1.3.6.1.4.1.232.0.6052
cpqHeResilientMemXorMemoryEngaged,.1.3.6.1.4.1.232.0.6053
cpqHe3FltTolPowerRedundancyRestored,.1.3.6.1.4.1.232.0.6054
cpqHe3FltTolFanRedundancyRestored,.1.3.6.1.4.1.232.0.6055
cpqHe4CorrMemReplaceMemModule,.1.3.6.1.4.1.232.0.6056
cpqHeResMemBoardRemoved,.1.3.6.1.4.1.232.0.6057
cpqHeResMemBoardInserted,.1.3.6.1.4.1.232.0.6058
cpqHeResMemBoardBusError,.1.3.6.1.4.1.232.0.6059
cpqHeEventOccurred,.1.3.6.1.4.1.232.0.6060
cpqHeManagementProcInReset,.1.3.6.1.4.1.232.0.6061
cpqHeManagementProcReady,.1.3.6.1.4.1.232.0.6062
cpqHeManagementProcFailedReset,.1.3.6.1.4.1.232.0.6063
cpqHe5CorrMemReplaceMemModule,.1.3.6.1.4.1.232.0.6064
cpqHe5ResMemBoardRemoved,.1.3.6.1.4.1.232.0.6065
cpqHe5ResMemBoardInserted,.1.3.6.1.4.1.232.0.6066
cpqHe5ResMemBoardBusError,.1.3.6.1.4.1.232.0.6067
cpqHeResilientMemLockStepMemoryEngaged,.1.3.6.1.4.1.232.0.6068
cpqHe4FltTolPowerSupplyACpowerloss,.1.3.6.1.4.1.232.0.6069
cpqHeSysBatteryFailed,.1.3.6.1.4.1.232.0.6070
cpqHeSysBatteryRemoved,.1.3.6.1.4.1.232.0.6071
cpqSm2ServerReset,.1.3.6.1.4.1.232.0.9001
cpqSm2ServerPowerOutage,.1.3.6.1.4.1.232.0.9002
cpqSm2UnauthorizedLoginAttempts,.1.3.6.1.4.1.232.0.9003
cpqSm2BatteryFailed,.1.3.6.1.4.1.232.0.9004
cpqSm2SelfTestError,.1.3.6.1.4.1.232.0.9005
cpqSm2InterfaceError,.1.3.6.1.4.1.232.0.9006
cpqSm2BatteryDisconnected,.1.3.6.1.4.1.232.0.9007
cpqSm2KeyboardCableDisconnected,.1.3.6.1.4.1.232.0.9008
cpqSm2MouseCableDisconnected,.1.3.6.1.4.1.232.0.9009
cpqSm2ExternalPowerCableDisconnected,.1.3.6.1.4.1.232.0.9010
cpqSm2LogsFull,.1.3.6.1.4.1.232.0.9011
cpqSm2SecurityOverrideEngaged,.1.3.6.1.4.1.232.0.9012
cpqSm2SecurityOverrideDisengaged,.1.3.6.1.4.1.232.0.9013
cpqSm2ServerFatalError,.1.3.6.1.4.1.232.0.9014
cpqSm2NicLinkDown,.1.3.6.1.4.1.232.0.9015
cpqSm2NicLinkUp,.1.3.6.1.4.1.232.0.9016
cpqSm2ServerPowerOn,.1.3.6.1.4.1.232.0.9017
cpqSm2ServerPowerOff,.1.3.6.1.4.1.232.0.9018
cpqSm2ServerPowerOnFailure,.1.3.6.1.4.1.232.0.9019
cpqSm2IrsCommFailure,.1.3.6.1.4.1.232.0.9020
cpqHoGenericTrap,.1.3.6.1.4.1.232.0.11001
cpqHoAppErrorTrap,.1.3.6.1.4.1.232.0.11002
cpqHo2GenericTrap,.1.3.6.1.4.1.232.0.11003
cpqHo2AppErrorTrap,.1.3.6.1.4.1.232.0.11004
cpqHo2NicStatusOk,.1.3.6.1.4.1.232.0.11005
cpqHo2NicStatusFailed,.1.3.6.1.4.1.232.0.11006
cpqHo2NicSwitchoverOccurred,.1.3.6.1.4.1.232.0.11007
cpqHo2NicStatusOk2,.1.3.6.1.4.1.232.0.11008
cpqHo2NicStatusFailed2,.1.3.6.1.4.1.232.0.11009
cpqHo2NicSwitchoverOccurred2,.1.3.6.1.4.1.232.0.11010
cpqHoProcessEventTrap,.1.3.6.1.4.1.232.0.11011
cpqHoProcessCountWarning,.1.3.6.1.4.1.232.0.11012
cpqHoProcessCountNormal,.1.3.6.1.4.1.232.0.11013
cpqHoCriticalSoftwareUpdateTrap,.1.3.6.1.4.1.232.0.11014
cpqHoCrashDumpNotEnabledTrap,.1.3.6.1.4.1.232.0.11015
cpqHoBootPagingFileTooSmallTrap,.1.3.6.1.4.1.232.0.11016
cpqHoSWRunningStatusChangeTrap,.1.3.6.1.4.1.232.0.11017
cpqHo2PowerThresholdTrap,.1.3.6.1.4.1.232.0.11018
cpqHoBootPagingFileOrFreeSpaceTooSmallTrap,.1.3.6.1.4.1.232.0.11019
cpqHoMibHealthStatusArrayChangeTrap,.1.3.6.1.4.1.232.0.11020
cpqIdeDriveDegraded,.1.3.6.1.4.1.232.0.14001
cpqIdeDriveOk,.1.3.6.1.4.1.232.0.14002
cpqIdeDriveUltraAtaDegraded,.1.3.6.1.4.1.232.0.14003
cpqIdeAtaDiskStatusChange,.1.3.6.1.4.1.232.0.14004
cpqIdeLogicalDriveStatusChange,.1.3.6.1.4.1.232.0.14005
cpqIdeAtaDiskSSDWearStatusChange,.1.3.6.1.4.1.232.0.14006
cpqNicConnectivityRestored,.1.3.6.1.4.1.232.0.18001
cpqNicConnectivityLost,.1.3.6.1.4.1.232.0.18002
cpqNicRedundancyIncreased,.1.3.6.1.4.1.232.0.18003
cpqNicRedundancyReduced,.1.3.6.1.4.1.232.0.18004
cpqNic2ConnectivityRestored,.1.3.6.1.4.1.232.0.18005
cpqNic2ConnectivityLost,.1.3.6.1.4.1.232.0.18006
cpqNic2RedundancyIncreased,.1.3.6.1.4.1.232.0.18007
cpqNic2RedundancyReduced,.1.3.6.1.4.1.232.0.18008
cpqNicVirusLikeActivityDetected,.1.3.6.1.4.1.232.0.18009
cpqNicVirusLikeActivityStopped,.1.3.6.1.4.1.232.0.18010
cpqNic3ConnectivityRestored,.1.3.6.1.4.1.232.0.18011
cpqNic3ConnectivityLost,.1.3.6.1.4.1.232.0.18012
cpqNic3RedundancyIncreased,.1.3.6.1.4.1.232.0.18013
cpqNic3RedundancyReduced,.1.3.6.1.4.1.232.0.18014
cpqDaLogDrvStatusChange,.1.3.6.1.4.1.232.3.0.1
cpqDaSpareStatusChange,.1.3.6.1.4.1.232.3.0.2
cpqDaPhyDrvStatusChange,.1.3.6.1.4.1.232.3.0.3
cpqDaPhyDrvThreshPassedTrap,.1.3.6.1.4.1.232.3.0.4
cpqDaAccelStatusChange,.1.3.6.1.4.1.232.3.0.5
cpqDaAccelBadDataTrap,.1.3.6.1.4.1.232.3.0.6
cpqDaAccelBatteryFailed,.1.3.6.1.4.1.232.3.0.7
cpqScsiCntlrStatusChange,.1.3.6.1.4.1.232.5.0.1
cpqScsiLogDrvStatusChange,.1.3.6.1.4.1.232.5.0.2
cpqScsiPhyDrvStatusChange,.1.3.6.1.4.1.232.5.0.3
cpqHeCorrectableMemoryError,.1.3.6.1.4.1.232.6.0.1
cpqHeCorrectableMemoryLogDisabled,.1.3.6.1.4.1.232.6.0.2
